,profile
186,4.0
187,4.0
188,4.0
189,4.0
190,4.0
191,4.0
192,4.0
193,4.0
194,4.0
195,4.0
196,4.0
197,4.0
198,4.0
199,4.0
200,4.0
201,4.0
202,4.0
203,4.0
204,4.0
205,4.0
206,4.0
207,4.0
208,4.0
209,4.0
210,4.0
211,4.0
212,4.0
213,4.0
214,4.0
215,4.0
216,4.0
217,4.0
218,4.0
219,4.0
220,4.0
221,4.0
222,4.0
223,4.0
224,4.0
225,4.0
226,4.0
227,4.0
228,4.0
229,4.0
230,4.0
231,4.0
232,4.0
233,4.0
234,4.0
235,4.0
236,4.0
237,4.0
238,4.0
239,4.0
240,4.0
241,4.0
242,4.0
243,4.0
244,4.0
245,4.0
246,4.0
247,4.0
248,4.0
249,4.0
250,4.0
251,4.0
252,4.0
253,4.0
254,4.0
255,4.0
256,4.0
257,4.0
258,4.0
259,4.0
260,4.0
261,4.0
262,4.0
263,4.0
264,4.0
265,4.0
266,4.0
267,4.0
268,4.0
269,4.0
270,4.0
271,4.0
272,4.0
273,4.0
274,4.0
275,4.0
276,4.0
277,4.0
278,4.0
279,4.0
280,4.0
281,4.0
282,4.0
283,4.0
284,4.0
285,4.0
286,4.0
287,4.0
288,4.0
289,4.0
290,4.0
291,4.0
292,4.0
293,4.0
294,4.0
295,4.0
296,4.0
297,4.0
298,4.0
299,4.0
300,4.0
301,4.0
302,4.0
303,4.0
304,4.0
305,4.0
306,4.0
307,4.0
308,4.0
309,4.0
310,4.0
311,4.0
312,4.0
313,4.0
314,4.0
315,4.0
316,4.0
317,4.0
318,4.0
319,4.0
320,4.0
321,4.0
322,4.0
323,4.0
324,4.0
325,4.0
326,4.0
327,4.0
328,4.0
329,4.0
330,4.0
331,4.0
332,4.0
333,4.0
334,4.0
335,4.0
336,4.0
337,4.0
338,4.0
339,4.0
340,4.0
341,4.0
342,4.0
343,4.0
344,4.0
345,4.0
346,4.0
347,4.0
348,4.0
349,4.0
350,4.0
351,4.0
352,4.0
353,4.0
354,4.0
355,4.0
356,4.0
357,4.0
358,4.0
359,4.0
360,4.0
361,4.0
362,4.0
363,4.0
364,4.0
365,4.0
366,4.0
367,4.0
368,4.0
369,4.0
370,4.0
371,4.0
372,4.0
373,4.0
374,4.0
375,4.0
376,4.0
377,4.0
378,4.0
379,4.0
380,4.0
381,4.0
382,4.0
383,4.0
384,4.0
385,4.0
386,4.0
387,4.0
388,4.0
389,4.0
390,4.0
391,4.0
392,4.0
393,4.0
394,4.0
395,4.0
396,4.0
397,4.0
398,4.0
399,4.0
400,4.0
401,4.0
402,4.0
403,4.0
404,4.0
405,4.0
406,4.0
407,4.0
408,4.0
409,4.0
410,4.0
411,4.0
412,4.0
413,4.0
414,4.0
415,4.0
416,4.0
417,4.0
418,4.0
419,4.0
420,4.0
421,4.0
422,4.0
423,4.0
424,4.0
425,4.0
426,4.0
427,4.0
428,4.0
429,4.0
430,4.0
431,4.0
432,4.0
433,4.0
434,4.0
435,4.0
436,4.0
437,4.0
438,4.0
439,4.0
440,4.0
441,4.0
442,4.0
443,4.0
444,4.0
445,4.0
446,4.0
447,4.0
448,4.0
449,4.0
450,4.0
451,4.0
452,4.0
453,4.0
454,4.0
455,4.0
456,4.0
457,4.0
458,4.0
459,4.0
460,4.0
461,4.0
462,4.0
463,4.0
464,4.0
465,4.0
466,4.0
467,4.0
468,4.0
469,4.0
470,4.0
471,4.0
472,4.0
473,4.0
474,4.0
475,4.0
476,4.0
477,4.0
478,4.0
479,4.0
480,4.0
481,4.0
482,4.0
483,4.0
484,4.0
485,4.0
486,4.0
487,4.0
488,4.0
489,4.0
490,4.0
491,4.0
492,4.0
493,4.0
494,4.0
495,4.0
496,4.0
497,4.0
498,4.0
499,4.0
500,4.0
501,4.0
502,4.0
503,4.0
504,4.0
505,4.0
506,4.0
507,4.0
508,4.0
509,4.0
510,4.0
511,4.0
512,4.0
513,4.0
514,4.0
515,4.0
516,4.0
517,4.0
518,4.0
519,4.0
520,4.0
521,4.0
522,4.0
523,4.0
524,4.0
525,4.0
526,4.0
527,4.0
528,4.0
529,4.0
530,4.0
531,4.0
532,4.0
533,4.0
534,4.0
535,4.0
536,4.0
537,4.0
538,4.0
539,4.0
540,4.0
541,4.0
542,4.0
543,4.0
544,4.0
545,4.0
546,4.0
547,4.0
548,4.0
549,4.0
550,4.0
551,4.0
552,4.0
553,4.0
554,4.0
555,4.0
556,4.0
557,4.0
558,4.0
559,4.0
560,4.0
561,4.0
562,4.0
563,4.0
564,4.0
565,4.0
566,4.0
567,4.0
568,4.0
569,4.0
570,4.0
571,4.0
572,4.0
573,4.0
574,4.0
575,4.0
576,4.0
577,4.0
578,4.0
579,4.0
580,4.0
581,4.0
582,4.0
583,4.0
584,4.0
585,4.0
586,4.0
587,4.0
588,4.0
589,4.0
590,4.0
591,4.0
592,4.0
593,4.0
594,4.0
595,4.0
596,4.0
597,4.0
598,4.0
599,4.0
600,4.0
601,4.0
602,4.0
603,4.0
604,4.0
605,4.0
606,4.0
607,4.0
608,4.0
609,4.0
610,4.0
611,4.0
612,4.0
613,4.0
614,4.0
615,4.0
616,4.0
617,4.0
618,4.0
619,4.0
620,4.0
621,4.0
622,4.0
623,4.0
624,4.0
625,4.0
626,4.0
627,4.0
628,4.0
629,4.0
630,4.0
631,4.0
632,4.0
633,4.0
634,4.0
635,4.0
636,4.0
637,4.0
638,4.0
639,4.0
640,4.0
641,4.0
642,4.0
643,4.0
644,4.0
645,4.0
646,4.0
647,4.0
648,4.0
649,4.0
650,4.0
651,4.0
652,4.0
653,4.0
654,4.0
655,4.0
656,4.0
657,4.0
658,4.0
659,4.0
660,4.0
661,4.0
662,4.0
663,4.0
664,4.0
665,4.0
666,4.0
667,4.0
668,4.0
669,4.0
670,4.0
671,4.0
672,4.0
673,4.0
674,4.0
675,4.0
676,4.0
677,4.0
678,4.0
679,4.0
680,4.0
681,4.0
682,4.0
683,4.0
684,4.0
685,4.0
686,4.0
687,4.0
688,4.0
689,4.0
690,4.0
691,4.0
692,4.0
693,4.0
694,4.0
695,4.0
696,4.0
697,4.0
698,4.0
699,4.0
700,4.0
701,4.0
702,4.0
703,4.0
704,4.0
705,4.0
706,4.0
707,4.0
708,4.0
709,4.0
710,4.0
711,4.0
712,4.0
713,4.0
714,4.0
715,4.0
716,4.0
717,4.0
718,4.0
719,4.0
720,4.0
721,4.0
722,4.0
723,4.0
724,4.0
725,4.0
726,4.0
727,4.0
728,4.0
729,4.0
730,4.0
731,4.0
732,4.0
733,4.0
734,4.0
735,4.0
736,4.0
737,4.0
738,4.0
739,4.0
740,4.0
741,4.0
742,4.0
743,4.0
744,4.0
745,4.0
746,4.0
747,4.0
748,4.0
749,4.0
750,4.0
751,4.0
752,4.0
753,4.0
754,4.0
755,4.0
756,4.0
757,4.0
758,4.0
759,4.0
760,4.0
761,4.0
762,4.0
763,4.0
764,4.0
765,4.0
766,4.0
767,4.0
768,4.0
769,4.0
770,4.0
771,4.0
772,4.0
773,4.0
774,4.0
775,4.0
776,4.0
777,4.0
778,4.0
779,4.0
780,4.0
781,4.0
782,4.0
783,4.0
784,4.0
785,4.0
786,4.0
787,4.0
788,4.0
789,4.0
790,4.0
791,4.0
792,4.0
793,4.0
794,4.0
795,4.0
796,4.0
797,4.0
798,4.0
799,4.0
800,4.0
801,4.0
802,4.0
803,4.0
804,4.0
805,4.0
806,4.0
807,4.0
808,4.0
809,4.0
810,4.0
811,4.0
812,4.0
813,4.0
814,4.0
815,4.0
816,4.0
817,4.0
818,4.0
819,4.0
820,4.0
821,4.0
822,4.0
823,4.0
824,4.0
825,4.0
826,4.0
827,4.0
828,4.0
829,4.0
830,4.0
831,4.0
832,4.0
833,4.0
834,4.0
835,4.0
836,4.0
837,4.0
838,4.0
839,4.0
840,4.0
841,4.0
842,4.0
843,4.0
844,4.0
845,4.0
846,4.0
847,4.0
848,4.0
849,4.0
850,4.0
851,4.0
852,4.0
853,4.0
854,4.0
855,4.0
856,4.0
857,4.0
858,4.0
859,4.0
860,4.0
861,4.0
862,4.0
863,4.0
864,4.0
865,4.0
866,4.0
867,4.0
868,4.0
869,4.0
870,4.0
871,4.0
872,4.0
873,4.0
874,4.0
875,4.0
876,4.0
877,4.0
878,4.0
879,4.0
880,4.0
881,4.0
882,4.0
883,4.0
884,4.0
885,4.0
886,4.0
887,4.0
888,4.0
889,4.0
890,4.0
891,4.0
892,4.0
893,4.0
894,4.0
895,4.0
896,4.0
897,4.0
898,4.0
899,4.0
900,4.0
901,4.0
902,4.0
903,4.0
904,4.0
905,4.0
906,4.0
907,4.0
908,4.0
909,4.0
910,4.0
911,4.0
912,4.0
913,4.0
914,4.0
915,4.0
916,4.0
917,4.0
918,4.0
919,4.0
920,4.0
921,4.0
922,4.0
923,4.0
924,4.0
925,4.0
926,4.0
927,4.0
928,4.0
929,4.0
930,4.0
931,4.0
932,4.0
933,4.0
934,4.0
935,4.0
936,4.0
937,4.0
938,4.0
939,4.0
940,4.0
941,4.0
942,4.0
943,4.0
944,4.0
945,4.0
946,4.0
947,4.0
948,4.0
949,4.0
950,4.0
951,4.0
952,4.0
953,4.0
954,4.0
955,4.0
956,4.0
957,4.0
958,4.0
959,4.0
960,4.0
961,4.0
962,4.0
963,4.0
964,4.0
965,4.0
966,4.0
967,4.0
968,4.0
969,4.0
970,4.0
971,4.0
972,4.0
973,4.0
974,4.0
975,4.0
976,4.0
977,4.0
978,4.0
979,4.0
980,4.0
981,4.0
982,4.0
983,4.0
984,4.0
985,4.0
986,4.0
987,4.0
988,4.0
989,4.0
990,4.0
991,4.0
992,4.0
993,4.0
994,4.0
995,4.0
996,4.0
997,4.0
998,4.0
999,4.0
1000,4.0
1001,4.0
1002,4.0
1003,4.0
1004,4.0
1005,4.0
1006,4.0
1007,4.0
1008,4.0
1009,4.0
1010,4.0
1011,4.0
1012,4.0
1013,4.0
1014,4.0
1015,4.0
1016,4.0
1017,4.0
1018,4.0
1019,4.0
1020,4.0
1021,4.0
1022,4.0
1023,4.0
1024,4.0
1025,4.0
1026,4.0
1027,4.0
1028,4.0
1029,4.0
1030,4.0
1031,4.0
1032,4.0
1033,4.0
1034,4.0
1035,4.0
1036,4.0
1037,4.0
1038,4.0
1039,4.0
1040,4.0
1041,4.0
1042,4.0
1043,4.0
1044,4.0
1045,4.0
1046,4.0
1047,4.0
1048,4.0
1049,4.0
1050,4.0
1051,4.0
1052,4.0
1053,4.0
1054,4.0
1055,4.0
1056,4.0
1057,4.0
1058,4.0
1059,4.0
1060,4.0
1061,4.0
1062,4.0
1063,4.0
1064,4.0
1065,4.0
1066,4.0
1067,4.0
1068,4.0
1069,4.0
1070,4.0
1071,4.0
1072,4.0
1073,4.0
1074,4.0
1075,4.0
1076,4.0
1077,4.0
1078,4.0
1079,4.0
1080,4.0
1081,4.0
1082,4.0
1083,4.0
1084,4.0
1085,4.0
1086,4.0
1087,4.0
1088,4.0
1089,4.0
1090,4.0
1091,4.0
1092,4.0
1093,4.0
1094,4.0
1095,4.0
1096,4.0
1097,4.0
1098,4.0
1099,4.0
1100,4.0
1101,4.0
1102,4.0
1103,4.0
1104,4.0
1105,4.0
1106,4.0
1107,4.0
1108,4.0
1109,4.0
1110,4.0
1111,4.0
1112,4.0
1113,4.0
1114,4.0
1115,4.0
1116,4.0
1117,4.0
1118,4.0
1119,4.0
1120,4.0
1121,4.0
1122,4.0
1123,4.0
1124,4.0
1125,4.0
1126,4.0
1127,4.0
1128,4.0
1129,4.0
1130,4.0
1131,4.0
1132,4.0
1133,4.0
1134,4.0
1135,4.0
1136,4.0
1137,4.0
1138,4.0
1139,4.0
1140,4.0
1141,4.0
1142,4.0
1143,4.0
1144,4.0
1145,4.0
1146,4.0
1147,4.0
1148,4.0
1149,4.0
1150,4.0
1151,4.0
1152,4.0
1153,4.0
1154,4.0
1155,4.0
1156,4.0
1157,4.0
1158,4.0
1159,4.0
1160,4.0
1161,4.0
1162,4.0
1163,4.0
1164,4.0
1165,4.0
1166,4.0
1167,4.0
1168,4.0
1169,4.0
1170,4.0
1171,4.0
1172,4.0
1173,4.0
1174,4.0
1175,4.0
1176,4.0
1177,4.0
1178,4.0
1179,4.0
1180,4.0
1181,4.0
1182,4.0
1183,4.0
1184,4.0
1185,4.0
1186,4.0
1187,4.0
1188,4.0
1189,4.0
1190,4.0
1191,4.0
1192,4.0
1193,4.0
1194,4.0
1195,4.0
1196,4.0
1197,4.0
1198,4.0
1199,4.0
1200,4.0
1201,4.0
1202,4.0
1203,4.0
1204,4.0
1205,4.0
1206,4.0
1207,4.0
1208,4.0
1209,4.0
1210,4.0
1211,4.0
1212,4.0
1213,4.0
1214,4.0
1215,4.0
1216,4.0
1217,4.0
1218,4.0
1219,4.0
1220,4.0
1221,4.0
1222,4.0
1223,4.0
1224,4.0
1225,4.0
1226,4.0
1227,4.0
1228,4.0
1229,4.0
1230,4.0
1231,4.0
1232,4.0
1233,4.0
1234,4.0
1235,4.0
1236,4.0
1237,4.0
1238,4.0
1239,4.0
1240,4.0
1241,4.0
1242,4.0
1243,4.0
1244,4.0
1245,4.0
1246,4.0
1247,4.0
1248,4.0
1249,4.0
1250,4.0
1251,4.0
1252,4.0
1253,4.0
1254,4.0
1255,4.0
1256,4.0
1257,4.0
1258,4.0
1259,4.0
1260,4.0
1261,4.0
1262,4.0
1263,4.0
1264,4.0
1265,4.0
1266,4.0
1267,4.0
1268,4.0
1269,4.0
1270,4.0
1271,4.0
1272,4.0
1273,4.0
1274,4.0
1275,4.0
1276,4.0
1277,4.0
1278,4.0
1279,4.0
1280,4.0
1281,4.0
1282,4.0
1283,4.0
1284,4.0
1285,4.0
1286,4.0
1287,4.0
1288,4.0
1289,4.0
1290,4.0
1291,4.0
1292,4.0
1293,4.0
1294,4.0
1295,4.0
1296,4.0
1297,4.0
1298,4.0
1299,4.0
1300,4.0
1301,4.0
1302,4.0
1303,4.0
1304,4.0
1305,4.0
1306,4.0
1307,4.0
1308,4.0
1309,4.0
1310,4.0
1311,4.0
1312,4.0
1313,4.0
1314,4.0
1315,4.0
1316,4.0
1317,4.0
1318,4.0
1319,4.0
1320,4.0
1321,4.0
1322,4.0
1323,4.0
1324,4.0
1325,4.0
1326,4.0
1327,4.0
1328,4.0
1329,4.0
1330,4.0
1331,4.0
1332,4.0
1333,4.0
1334,4.0
1335,4.0
1336,4.0
1337,4.0
1338,4.0
1339,4.0
1340,4.0
1341,4.0
1342,4.0
1343,4.0
1344,4.0
1345,4.0
1346,4.0
1347,4.0
1348,4.0
1349,4.0
1350,4.0
1351,4.0
1352,4.0
1353,4.0
1354,4.0
1355,4.0
1356,4.0
1357,4.0
1358,4.0
1359,4.0
1360,4.0
1361,4.0
1362,4.0
1363,4.0
1364,4.0
1365,4.0
1366,4.0
1367,4.0
1368,4.0
1369,4.0
1370,4.0
1371,4.0
1372,4.0
1373,4.0
1374,4.0
1375,4.0
1376,4.0
1377,4.0
1378,4.0
1379,4.0
1380,4.0
1381,4.0
1382,4.0
1383,4.0
1384,4.0
1385,4.0
1386,4.0
1387,4.0
1388,4.0
1389,4.0
1390,4.0
1391,4.0
1392,3.8264
1393,3.8264
1394,3.8264
1395,3.8264
1396,3.8264
1397,3.8264
1398,3.8264
1399,3.8264
1400,3.8264
1401,3.8264
1402,3.8264
1403,3.8264
1404,3.8264
1405,3.8264
1406,3.8264
1407,3.8264
1408,3.8264
1409,3.8264
1410,3.8264
1411,3.8264
1412,3.8264
1413,3.8264
1414,3.8264
1415,3.8264
1416,3.8264
1417,3.8264
1418,3.8264
1419,3.8264
1420,3.8264
1421,3.8264
1422,3.8264
1423,3.8264
1424,3.8264
1425,3.8264
1426,3.8264
1427,3.8264
1428,3.8264
1429,3.8264
1430,3.8264
1431,3.8264
1432,3.8264
1433,3.8264
1434,3.8264
1435,3.8264
1436,3.8264
1437,3.8264
1438,3.8264
1439,3.8264
1440,3.8264
1441,3.8264
1442,3.8264
1443,3.8264
1444,3.8264
1445,3.8264
1446,3.8264
1447,3.8264
1448,3.8264
1449,3.8264
1450,3.8264
1451,3.8264
1452,3.8264
1453,3.8264
1454,3.8264
1455,3.8264
1456,3.8264
1457,3.8264
1458,3.8264
1459,3.8264
1460,3.8264
1461,3.8264
1462,3.8264
1463,3.8264
1464,3.8264
1465,3.8264
1466,3.8264
1467,3.8264
1468,3.8264
1469,3.8264
1470,3.8264
1471,3.8264
1472,3.8264
1473,3.8264
1474,3.8264
1475,3.8264
1476,3.8264
1477,3.8264
1478,3.8264
1479,3.8264
1480,3.8264
1481,3.8264
1482,3.8264
1483,3.8264
1484,3.8264
1485,3.8264
1486,3.8264
1487,3.8264
1488,3.8264
1489,3.8264
1490,3.8264
1491,3.8264
1492,3.8264
1493,3.8264
1494,3.8264
1495,3.8264
1496,3.8264
1497,3.8264
1498,3.8264
1499,3.8264
1500,3.8264
1501,3.8264
1502,3.8264
1503,3.8264
1504,3.8264
1505,3.8264
1506,3.8264
1507,3.8264
1508,3.8264
1509,3.8264
1510,3.8264
1511,3.8264
1512,3.8264
1513,3.8264
1514,3.8264
1515,3.8264
1516,3.8264
1517,3.8264
1518,3.8264
1519,3.8264
1520,3.8264
1521,3.8264
1522,3.8264
1523,3.8264
1524,3.8264
1525,3.8264
1526,3.8264
1527,3.8264
1528,3.8264
1529,3.8264
1530,3.8264
1531,3.8264
1532,3.8264
1533,3.8264
1534,3.8264
1535,3.8264
1536,3.8264
1537,3.8264
1538,3.8264
1539,3.8264
1540,3.8264
1541,3.8264
1542,3.8264
1543,3.8264
1544,3.8264
1545,3.8264
1546,3.8264
1547,3.8264
1548,3.8264
1549,3.8264
1550,3.8264
1551,3.8264
1552,3.8264
1553,3.8264
1554,3.8264
1555,3.8264
1556,3.8264
1557,3.8264
1558,3.8264
1559,3.8264
1560,3.8264
1561,3.8264
1562,3.8264
1563,3.8264
1564,3.8264
1565,3.8264
1566,3.8264
1567,3.8264
1568,3.8264
1569,3.8264
1570,3.8264
1571,3.8264
1572,3.8264
1573,3.8264
1574,3.8264
1575,3.8264
1576,3.8264
1577,3.8264
1578,3.8264
1579,3.8264
1580,3.8264
1581,3.8264
1582,3.8264
1583,3.8264
1584,3.8264
1585,3.8264
1586,3.8264
1587,3.8264
1588,3.8264
1589,3.8264
1590,3.8264
1591,3.8264
1592,3.8264
1593,3.8264
1594,3.8264
1595,3.8264
1596,3.8264
1597,3.8264
1598,3.8264
1599,3.8264
1600,3.8264
1601,3.8264
1602,3.8264
1603,3.8264
1604,3.8264
1605,3.8264
1606,3.8264
1607,3.8264
1608,3.8264
1609,3.8264
1610,3.8264
1611,3.8264
1612,3.8264
1613,3.8264
1614,3.8264
1615,3.8264
1616,3.8264
1617,3.8264
1618,3.8264
1619,3.8264
1620,3.8264
1621,3.8264
1622,3.8264
1623,3.8264
1624,3.8264
1625,3.8264
1626,3.8264
1627,3.8264
1628,3.8264
1629,3.8264
1630,3.8264
1631,3.8264
1632,3.8264
1633,3.8264
1634,3.8264
1635,3.8264
1636,3.8264
1637,3.8264
1638,3.8264
1639,3.8264
1640,3.8264
1641,3.8264
1642,3.8264
1643,3.8264
1644,3.8264
1645,3.8264
1646,3.8264
1647,3.8264
1648,3.8264
1649,3.8264
1650,3.8264
1651,3.8264
1652,3.8264
1653,3.8264
1654,3.8264
1655,3.8264
1656,3.8264
1657,3.8264
1658,3.8264
1659,3.8264
1660,3.8264
1661,3.8264
1662,3.8264
1663,3.8264
1664,3.8264
1665,3.8264
1666,3.8264
1667,3.8264
1668,3.8264
1669,3.8264
1670,3.8264
1671,3.8264
1672,3.8264
1673,3.8264
1674,3.8264
1675,3.8264
1676,3.8264
1677,3.8264
1678,3.8264
1679,3.8264
1680,3.8264
1681,3.8264
1682,3.8264
1683,3.8264
1684,3.8264
1685,3.8264
1686,3.8264
1687,3.8264
1688,3.8264
1689,3.8264
1690,3.8264
1691,3.8264
1692,3.8264
1693,3.8264
1694,3.8264
1695,3.8264
1696,3.8264
1697,3.8264
1698,3.8264
1699,3.8264
1700,3.8264
1701,3.8264
1702,3.8264
1703,3.8264
1704,3.8264
1705,3.8264
1706,3.8264
1707,3.8264
1708,3.8264
1709,3.8264
1710,3.8264
1711,3.8264
1712,3.8264
1713,3.8264
1714,3.8264
1715,3.8264
1716,3.8264
1717,3.8264
1718,3.8264
1719,3.8264
1720,3.8264
1721,3.8264
1722,3.8264
1723,3.8264
1724,3.8264
1725,3.8264
1726,3.8264
1727,3.8264
1728,3.8264
1729,3.8264
1730,3.8264
1731,3.8264
1732,3.8264
1733,3.8264
1734,3.8264
1735,3.8264
1736,3.8264
1737,3.8264
1738,3.8264
1739,3.8264
1740,3.8264
1741,3.8264
1742,3.8264
1743,3.8264
1744,3.8264
1745,3.8264
1746,3.8264
1747,3.8264
1748,3.8264
1749,3.8264
1750,3.8264
1751,3.8264
1752,3.8264
1753,3.8264
1754,3.8264
1755,3.8264
1756,3.8264
1757,3.8264
1758,3.8264
1759,3.8264
1760,3.8264
1761,3.8264
1762,3.8264
1763,3.8264
1764,3.8264
1765,3.8264
1766,3.8264
1767,3.8264
1768,3.8264
1769,3.8264
1770,3.8264
1771,3.8264
1772,3.8264
1773,3.8264
1774,3.8264
1775,3.8264
1776,3.8264
1777,3.8264
1778,3.8264
1779,3.8264
1780,3.8264
1781,3.8264
1782,3.8264
1783,3.8264
1784,3.8264
1785,3.8264
1786,3.8264
1787,3.8264
1788,3.8264
1789,3.8264
1790,3.8264
1791,3.8264
1792,3.8264
1793,3.8264
1794,3.8264
1795,3.8264
1796,3.8264
1797,3.8264
1798,3.8264
1799,3.8264
1800,3.8264
1801,3.8264
1802,3.8264
1803,3.8264
1804,3.8264
1805,3.8264
1806,3.8264
1807,3.8264
1808,3.8264
1809,3.8264
1810,3.8264
1811,3.8264
1812,3.8264
1813,3.8264
1814,3.8264
1815,3.8264
1816,3.8264
1817,3.8264
1818,3.8264
1819,3.8264
1820,3.8264
1821,3.8264
1822,3.8264
1823,3.8264
1824,3.8264
1825,3.8264
1826,3.8264
1827,3.8264
1828,3.8264
1829,3.8264
1830,3.8264
1831,3.8264
1832,3.8264
1833,3.8264
1834,3.8264
1835,3.8264
1836,3.8264
1837,3.8264
1838,3.8264
1839,3.8264
1840,3.8264
1841,3.8264
1842,3.8264
1843,3.8264
1844,3.8264
1845,3.8264
1846,3.8264
1847,3.8264
1848,3.8264
1849,3.8264
1850,3.8264
1851,3.8264
1852,3.8264
1853,3.8264
1854,3.8264
1855,3.8264
1856,3.8264
1857,3.8264
1858,3.8264
1859,3.8264
1860,3.8264
1861,3.8264
1862,3.8264
1863,3.8264
1864,3.8264
1865,3.8264
1866,3.8264
1867,3.8264
1868,3.8264
1869,3.8264
1870,3.8264
1871,3.8264
1872,3.8264
1873,3.8264
1874,3.8264
1875,3.8264
1876,3.8264
1877,3.8264
1878,3.8264
1879,3.8264
1880,3.8264
1881,3.8264
1882,3.8264
1883,3.8264
1884,3.8264
1885,3.8264
1886,3.8264
1887,3.8264
1888,3.8264
1889,3.8264
1890,3.8264
1891,3.8264
1892,3.8264
1893,3.8264
1894,3.8264
1895,3.8264
1896,3.8264
1897,3.8264
1898,3.8264
1899,3.8264
1900,3.8264
1901,3.8264
1902,3.8264
1903,3.8264
1904,3.8264
1905,3.8264
1906,3.8264
1907,3.8264
1908,3.8264
1909,3.8264
1910,3.8264
1911,3.8264
1912,3.8264
1913,3.8264
1914,3.8264
1915,3.8264
1916,3.8264
1917,3.8264
1918,3.8264
1919,3.8264
1920,3.8264
1921,3.8264
1922,3.8264
1923,3.8264
1924,3.8264
1925,3.8264
1926,3.8264
1927,3.8264
1928,3.8264
1929,3.8264
1930,3.8264
1931,3.8264
1932,3.8264
1933,3.8264
1934,3.8264
1935,3.8264
1936,3.8264
1937,3.8264
1938,3.8264
1939,3.8264
1940,3.8264
1941,3.8264
1942,3.8264
1943,3.8264
1944,3.8264
1945,3.8264
1946,3.8264
1947,3.8264
1948,3.8264
1949,3.8264
1950,3.8264
1951,3.8264
1952,3.8264
1953,3.8264
1954,3.8264
1955,3.8264
1956,3.8264
1957,3.8264
1958,3.8264
1959,3.8264
1960,3.8264
1961,3.8264
1962,3.8264
1963,3.8264
1964,3.8264
1965,3.8264
1966,3.8264
1967,3.8264
1968,3.8264
1969,3.8264
1970,3.8264
1971,3.8264
1972,3.8264
1973,3.8264
1974,3.8264
1975,3.8264
1976,3.8264
1977,3.8264
1978,3.8264
1979,3.8264
1980,3.8264
1981,3.8264
1982,3.8264
1983,3.8264
1984,3.8264
1985,3.8264
1986,3.8264
1987,3.8264
1988,3.8264
1989,3.8264
1990,3.8264
1991,3.8264
1992,3.8264
1993,3.8264
1994,3.8264
1995,3.8264
1996,3.8264
1997,3.8264
1998,3.8264
1999,3.8264
2000,3.8264
2001,3.8264
2002,3.8264
2003,3.8264
2004,3.8264
2005,3.8264
2006,3.8264
2007,3.8264
2008,3.8264
2009,3.8264
2010,3.8264
2011,3.8264
2012,3.8264
2013,3.8264
2014,3.8264
2015,3.8264
2016,3.8264
2017,3.8264
2018,3.8264
2019,3.8264
2020,3.8264
2021,3.8264
2022,3.8264
2023,3.8264
2024,3.8264
2025,3.8264
2026,3.8264
2027,3.8264
2028,3.8264
2029,3.8264
2030,3.8264
2031,3.8264
2032,3.8264
2033,3.8264
2034,3.8264
2035,3.8264
2036,3.8264
2037,3.8264
2038,3.8264
2039,3.8264
2040,3.8264
2041,3.8264
2042,3.8264
2043,3.8264
2044,3.8264
2045,3.8264
2046,3.8264
2047,3.8264
